MEETING,COMPANY,OWNER,DATE,STATUS,NEXT STEP
Discovery Call,Skyline Tech,User,3/27/2026,Scheduled,Send Pitch Deck
Platform Demo,NovaView,User,3/27/2026,In Progress,Draft Proposal
Contract Review,Ironbound Logistics,User,3/28/2026,Scheduled,Legal Sign-off
Q1 Review,BrightPath Edu,User,3/25/2026,Completed,Upsell Training
Tech Deep Dive,Quantum Systems,User,3/29/2026,Scheduled,Solution Design
Marketing Sync,Vortex Media,User,3/30/2026,Scheduled,Finalize Budget
Onboarding Pt. 1,Zenith Apps,User,3/24/2026,Completed,Setup Workspace
Budget Briefing,Peak Perform,User,3/31/2026,Scheduled,Approval Email
Initial Outreach,Desert Rose,User,4/1/2026,Scheduled,Qualify Lead
Product Roadmap,Lumiere Inc,User,4/2/2026,Scheduled,Feedback Loop
Security Audit,Silverline,User,3/23/2026,Completed,Risk Report
Site Visit,GreenLeaf,User,4/5/2026,Scheduled,Energy Quote
Strategy Session,BlueChip,User,4/6/2026,Scheduled,Project Plan
Vendor Sync,Swift Log,User,3/22/2026,Completed,Renew License
Final Negotiation,Stoic Labs,User,4/8/2026,Scheduled,Close Deal
